time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-03T23:52:22.200Z,62.4291,-151.3199,84.6,1.6,ml,,,,0.48,ak,ak0222uxbogp,2022-03-04T00:04:06.552Z,"29 km WSW of Petersville, Alaska",earthquake,,0.6,,,automatic,ak,ak
2022-03-03T23:51:42.275Z,38.0896,-115.2854,8.2,3.1,ml,17,104.67,0.642,0.1755,nn,nn00834881,2022-03-04T06:16:45.046Z,"54 km N of Hiko, Nevada",earthquake,,6.7,0.34,12,reviewed,nn,nn
2022-03-03T23:40:59.439Z,63.085,-150.791,120.7,2.2,ml,,,,0.32,ak,ak0222ux96s5,2022-03-03T23:46:14.100Z,"65 km N of Petersville, Alaska",earthquake,,0.8,,,automatic,ak,ak
2022-03-03T23:37:42.420Z,35.8051667,-117.617,5.66,0.06,ml,6,170,0.01903,0.06,ci,ci40199168,2022-03-04T00:41:28.695Z,"20km WNW of Searles Valley, CA",earthquake,0.54,0.31,0.025,3,reviewed,ci,ci
2022-03-03T23:26:07.320Z,33.51,-116.8971667,13.15,0.98,ml,34,33,0.03054,0.14,ci,ci40199152,2022-03-04T00:12:30.240Z,"8km NNW of Aguanga, CA",earthquake,0.21,0.54,0.131,22,reviewed,ci,ci
2022-03-03T23:24:14.832Z,65.3866,-148.1093,5.5,1.9,ml,,,,0.31,ak,ak0222ux5nvm,2022-03-03T23:31:52.579Z,"25 km SE of Livengood, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-03-03T23:22:39.080Z,17.9495,-66.9361666666667,12.86,2.37,md,5,212,,0.09,pr,pr71338853,2022-03-03T23:34:33.810Z,"3 km SW of Guánica, Puerto Rico",earthquake,0.93,0.35,0.0644273074642849,3,reviewed,pr,pr
2022-03-03T23:14:12.350Z,18.561,-68.725,108,4.01,md,23,187,0.8635,0.12,pr,pr2022062003,2022-03-04T00:47:35.040Z,"6 km SSW of Salvaleón de Higüey, Dominican Republic",earthquake,13.24,1.61,0.12,14,reviewed,pr,pr
2022-03-03T23:02:44.430Z,38.7926674,-122.8061676,2,0.35,md,8,131,0.004965,0.03,nc,nc73700786,2022-03-03T23:19:19.425Z,"5km WNW of The Geysers, CA",earthquake,0.94,1.47,,1,automatic,nc,nc
2022-03-03T22:48:33.264Z,61.3013,-152.3104,115.1,1.2,ml,,,,0.28,ak,ak0222uwpfmf,2022-03-03T23:31:52.380Z,"68 km WNW of Tyonek, Alaska",earthquake,,1.3,,,reviewed,ak,ak
