time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-02T16:21:09.390Z,38.8219986,-122.7645035,1.68,1.18,md,8.0,193.0,0.009457,0.01,nc,nc73700041,2022-03-02T16:36:13.039Z,"4km W of Cobb, CA",earthquake,0.53,1.15,,1.0,automatic,nc,nc
2022-03-02T16:20:53.419Z,61.7964,-149.6942,41.9,1.3,ml,,,,0.78,ak,ak0222t5fi8t,2022-03-02T16:24:20.561Z,"18 km ENE of Willow, Alaska",earthquake,,1.2,,,automatic,ak,ak
2022-03-02T01:25:48.180Z,44.4336667,-110.3405,2.87,0.28,md,4.0,122.0,0.05772,0.17,uu,uu60030034,2022-03-02T16:37:46.150Z,"65 km ESE of West Yellowstone, Montana",earthquake,1.11,10.16,0.076,3.0,reviewed,uu,uu
2022-03-02T01:25:28.400Z,44.2825,-110.4571667,6.69,1.23,md,12.0,99.0,0.05403,0.16,uu,uu60483752,2022-03-02T16:34:38.930Z,"66 km SE of West Yellowstone, Montana",earthquake,0.39,1.26,0.419,10.0,reviewed,uu,uu
2022-03-02T16:37:30.007Z,63.5195,-147.7428,17.3,1.5,ml,,,,0.94,ak,ak0222t5j3m5,2022-03-02T16:41:52.673Z,"61 km ENE of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2022-03-02T01:55:52.360Z,44.2856667,-110.4553333,4.33,0.94,md,10.0,98.0,0.0564,0.11,uu,uu60483762,2022-03-02T16:41:25.220Z,"66 km SE of West Yellowstone, Montana",earthquake,0.38,0.56,0.428,8.0,reviewed,uu,uu
2022-03-02T02:01:57.190Z,44.2761667,-110.4525,5.38,1.04,md,12.0,101.0,0.05547,0.18,uu,uu60483772,2022-03-02T16:44:31.650Z,"67 km SE of West Yellowstone, Montana",earthquake,0.66,1.18,0.081,8.0,reviewed,uu,uu
2022-03-02T02:15:22.250Z,44.2866667,-110.4566667,4.4,0.85,md,8.0,172.0,0.05592,0.07,uu,uu60483787,2022-03-02T17:00:03.720Z,"66 km SE of West Yellowstone, Montana",earthquake,0.4,0.51,0.354,6.0,reviewed,uu,uu
2022-03-02T02:09:54.570Z,44.283,-110.4551667,5.65,0.76,md,11.0,99.0,0.05555,0.13,uu,uu60483782,2022-03-02T16:56:55.510Z,"66 km SE of West Yellowstone, Montana",earthquake,0.46,1.36,0.217,9.0,reviewed,uu,uu
2022-03-02T02:06:11.720Z,44.2813333,-110.4598333,7.08,0.81,md,11.0,100.0,0.05183,0.2,uu,uu60483777,2022-03-02T16:54:49.820Z,"66 km SE of West Yellowstone, Montana",earthquake,0.55,1.48,0.141,9.0,reviewed,uu,uu
2022-03-02T00:14:27.330Z,35.0495,-117.6768333,-0.78,1.33,ml,25.0,82.0,0.1159,0.18,ci,ci40197520,2022-03-02T16:51:24.761Z,"6km NNW of Boron, CA",quarry blast,0.38,31.61,0.137,15.0,reviewed,ci,ci
2022-03-01T20:29:15.449Z,34.735,-98.4515,0.0,1.63,ml,28.0,122.0,0.271746674,0.5,ok,ok2022efjg,2022-03-02T16:58:53.924Z,"4 km E of Medicine Park, Oklahoma",quarry blast,,0.9,0.26,4.0,reviewed,ok,ok
2022-03-02T17:13:22.140Z,38.8330002,-122.8088303,2.39,1.17,md,13.0,72.0,0.00964,0.01,nc,nc73700066,2022-03-02T17:14:59.081Z,"8km W of Cobb, CA",earthquake,0.33,0.85,,1.0,automatic,nc,nc
2022-03-02T17:03:43.180Z,38.8214989,-122.803833,3.19,1.41,md,30.0,40.0,0.00523,0.02,nc,nc73700061,2022-03-02T17:12:11.218Z,"6km NW of The Geysers, CA",earthquake,0.22,0.43,0.15,5.0,automatic,nc,nc
2022-03-02T17:00:18.340Z,33.6705,-116.711,14.02,0.73,ml,18.0,105.0,0.04349,0.24,ci,ci40197968,2022-03-02T17:03:50.336Z,"8km S of Idyllwild, CA",earthquake,0.54,1.1,0.193,14.0,automatic,ci,ci
2022-03-02T06:21:30.517Z,67.3248,-156.2067,1.3,1.1,ml,,,,0.72,ak,ak0222szhc5x,2022-03-02T17:12:56.305Z,northern Alaska,earthquake,,0.7,,,reviewed,ak,ak
2022-03-02T03:25:21.390Z,44.2915,-110.463,4.11,0.72,md,9.0,169.0,0.05408,0.14,uu,uu60483812,2022-03-02T17:14:05.420Z,"65 km SE of West Yellowstone, Montana",earthquake,0.43,0.97,0.191,8.0,reviewed,uu,uu
2022-03-02T03:24:19.410Z,44.2875,-110.4598333,4.4,1.48,md,11.0,171.0,0.0542,0.09,uu,uu60483807,2022-03-02T17:10:27.410Z,"66 km SE of West Yellowstone, Montana",earthquake,0.42,0.38,0.121,8.0,reviewed,uu,uu
2022-03-02T03:09:28.280Z,44.2886667,-110.4616667,5.03,0.81,md,9.0,170.0,0.05354,0.11,uu,uu60483802,2022-03-02T17:05:16.850Z,"65 km SE of West Yellowstone, Montana",earthquake,0.48,1.28,0.197,8.0,reviewed,uu,uu
2022-03-02T02:51:33.810Z,44.2845,-110.4575,4.5,0.56,md,9.0,173.0,0.05452,0.1,uu,uu60483792,2022-03-02T17:02:09.610Z,"66 km SE of West Yellowstone, Montana",earthquake,0.42,0.78,0.26,8.0,reviewed,uu,uu
2022-03-02T17:17:49.440Z,38.8221664,-122.8553314,2.32,0.86,md,8.0,137.0,0.005504,0.01,nc,nc73700071,2022-03-02T17:26:11.322Z,"10km WNW of The Geysers, CA",earthquake,0.51,0.79,,1.0,automatic,nc,nc
2022-03-02T17:02:35.717Z,49.4341,155.812,71.79,4.9,mb,,129.0,3.865,0.78,us,us6000h1ga,2022-03-02T17:26:29.040Z,"139 km S of Severo-Kuril’sk, Russia",earthquake,9.4,3.6,0.038,223.0,reviewed,us,us
2022-03-02T08:20:29.147Z,59.5686,-152.4927,78.7,1.2,ml,,,,0.29,ak,ak0222t0nygv,2022-03-02T17:25:38.189Z,"40 km NW of Nanwalek, Alaska",earthquake,,1.9,,,reviewed,ak,ak
2022-03-02T08:14:00.582Z,63.0527,-149.5206,84.8,0.9,ml,,,,0.3,ak,ak0222t0mj2h,2022-03-02T17:20:57.511Z,"47 km SW of Cantwell, Alaska",earthquake,,1.2,,,reviewed,ak,ak
2022-03-02T04:39:04.560Z,44.2818333,-110.4558333,4.75,1.0,md,8.0,203.0,0.05471,0.08,uu,uu60483832,2022-03-02T17:21:55.160Z,"66 km SE of West Yellowstone, Montana",earthquake,0.47,0.41,0.192,8.0,reviewed,uu,uu
2022-03-02T04:17:12.090Z,44.2866667,-110.4601667,4.77,0.88,md,9.0,171.0,0.05363,0.08,uu,uu60483822,2022-03-02T17:18:47.850Z,"66 km SE of West Yellowstone, Montana",earthquake,0.4,0.71,0.228,8.0,reviewed,uu,uu
2022-03-02T04:10:21.380Z,44.2878333,-110.4595,3.85,0.84,md,7.0,171.0,0.05456,0.11,uu,uu60483817,2022-03-02T17:16:42.170Z,"66 km SE of West Yellowstone, Montana",earthquake,0.44,1.04,0.315,6.0,reviewed,uu,uu
2022-03-02T16:20:24.230Z,18.3508,-66.0946,57.0,3.28,md,18.0,188.0,0.0432,0.18,pr,pr2022061003,2022-03-02T17:34:20.446Z,"1 km ESE of Guaynabo, Puerto Rico",earthquake,1.25,1.06,0.08,12.0,reviewed,pr,pr
2022-03-02T11:16:34.433Z,63.5375,-153.2914,14.8,1.2,ml,,,,0.66,ak,ak0222t2fg6q,2022-03-02T17:31:48.961Z,"61 km SW of Lake Minchumina, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2022-03-02T06:55:25.310Z,44.2835,-110.4571667,4.28,1.69,md,10.0,201.0,0.05438,0.08,uu,uu60483852,2022-03-02T17:36:56.490Z,"66 km SE of West Yellowstone, Montana",earthquake,0.49,0.63,0.103,9.0,reviewed,uu,uu
2022-03-02T05:29:05.450Z,44.286,-110.462,4.03,0.7,md,8.0,196.0,0.05215,0.13,uu,uu60483847,2022-03-02T17:33:49.210Z,"66 km SE of West Yellowstone, Montana",earthquake,0.64,1.0,0.356,7.0,reviewed,uu,uu
2022-03-02T05:24:27.450Z,44.2766667,-110.453,4.86,2.01,ml,15.0,195.0,0.05523,0.12,uu,uu60483842,2022-03-02T17:32:14.120Z,"67 km SE of West Yellowstone, Montana",earthquake,0.52,0.61,0.289,3.0,reviewed,uu,uu
2022-03-02T17:39:47.700Z,35.6311684,-117.5780029,10.86,1.48,ml,23.0,71.0,0.07061,0.14,ci,ci40198016,2022-03-02T17:41:53.694Z,"9km E of Ridgecrest, CA",earthquake,0.32,0.53,0.221,11.0,automatic,ci,ci
